id,app,name,applied
1,contenttypes,0001_initial,2024-11-14 16:16:55.874044
2,auth,0001_initial,2024-11-14 16:16:55.898435
3,admin,0001_initial,2024-11-14 16:16:55.905953
4,admin,0002_logentry_remove_auto_add,2024-11-14 16:16:55.922787
5,admin,0003_logentry_add_action_flag_choices,2024-11-14 16:16:55.939413
6,contenttypes,0002_remove_content_type_name,2024-11-14 16:16:55.956007
7,auth,0002_alter_permission_name_max_length,2024-11-14 16:16:55.995564
8,auth,0003_alter_user_email_max_length,2024-11-14 16:16:56.006214
9,auth,0004_alter_user_username_opts,2024-11-14 16:16:56.017126
10,auth,0005_alter_user_last_login_null,2024-11-14 16:16:56.036004
11,auth,0006_require_contenttypes_0002,2024-11-14 16:16:56.042534
12,auth,0007_alter_validators_add_error_messages,2024-11-14 16:16:56.051873
13,auth,0008_alter_user_username_max_length,2024-11-14 16:16:56.067705
14,auth,0009_alter_user_last_name_max_length,2024-11-14 16:16:56.081777
15,auth,0010_alter_group_name_max_length,2024-11-14 16:16:56.088938
16,auth,0011_update_proxy_permissions,2024-11-14 16:16:56.105809
17,auth,0012_alter_user_first_name_max_length,2024-11-14 16:16:56.121692
18,sessions,0001_initial,2024-11-14 16:16:56.131349
19,vaultapp,0001_initial,2024-11-18 19:01:01.579582
20,vaultapp,0002_publicletter_feature_photo,2024-11-20 13:52:35.512381
21,vaultapp,0003_set_is_published_true,2024-11-20 18:18:51.577043
22,vaultapp,0004_blogpost,2024-12-02 02:56:54.393449
23,vaultapp,0005_bloginteraction,2024-12-07 11:09:16.597273
24,vaultapp,0006_publicletter_view_count,2024-12-07 11:16:48.941845
25,vaultapp,0007_alter_letterreaction_unique_together_and_more,2024-12-07 11:54:33.010739
26,vaultapp,0008_bloginteraction_session_id_and_more,2024-12-07 15:53:06.204002
27,vaultapp,0009_post,2025-01-14 17:23:36.639078
28,vaultapp,0010_blogview,2025-01-18 16:50:58.495783
