id,interaction_type,timestamp,public_letter_id,session_id,user_id
1,view,2024-12-07 12:53:59.464243,389,,1
2,view,2024-12-07 12:54:08.021304,388,,1
3,view,2024-12-07 12:54:11.221316,392,,1
4,comment,2024-12-07 12:54:18.806213,392,,1
5,view,2024-12-07 14:24:36.568184,391,,1
6,view,2024-12-07 14:32:29.321104,387,,1
7,view,2024-12-07 14:50:13.506360,386,,1
8,view,2024-12-07 16:13:36.456670,392,,
9,view,2024-12-07 16:43:51.851927,381,,1195
10,comment,2024-12-07 16:44:04.963889,381,,1195
11,view,2024-12-07 16:44:08.182471,382,,1195
12,comment,2024-12-07 16:44:14.795458,382,,1195
13,view,2024-12-07 16:44:21.565939,384,,1195
14,comment,2024-12-07 16:44:33.911287,384,,1195
15,view,2024-12-07 16:46:44.230971,304,,1199
16,comment,2024-12-07 16:47:00.671070,304,,1199
17,view,2024-12-07 16:47:02.694503,195,,1199
18,comment,2024-12-07 16:47:15.407569,195,,1199
19,view,2024-12-07 16:47:23.385109,196,,1199
20,view,2024-12-07 16:47:27.229256,194,,1199
21,view,2024-12-07 16:48:24.265777,378,,1199
22,comment,2024-12-07 16:48:39.252217,378,,1199
23,view,2024-12-07 16:48:44.601161,312,,1199
24,comment,2024-12-07 16:48:52.429775,312,,1199
25,view,2024-12-07 16:51:17.644789,382,,1198
26,comment,2024-12-07 16:51:25.888204,382,,1198
27,view,2024-12-07 16:51:32.377200,378,,1198
28,comment,2024-12-07 16:51:40.460909,378,,1198
29,view,2024-12-07 16:51:48.011731,312,,1198
30,view,2024-12-07 16:58:58.598182,355,,1200
31,view,2024-12-07 16:59:02.129515,379,,1200
32,view,2024-12-07 16:59:03.871629,312,,1200
33,view,2024-12-07 16:59:07.412573,392,,1200
34,view,2024-12-07 16:59:14.107083,387,,1200
35,view,2024-12-07 16:59:21.088426,389,,1200
36,view,2024-12-07 16:59:24.076182,383,,1200
37,comment,2024-12-07 16:59:29.013033,383,,1200
38,comment,2024-12-07 17:01:10.530179,387,,1200
39,view,2024-12-07 17:02:45.055693,384,,1200
40,comment,2024-12-07 17:03:13.194046,392,,1200
41,view,2024-12-07 17:03:16.683292,377,,1200
