id,content,created_at,parent_comment_id,user_id,public_letter_id
1,wow ,2024-12-07 11:29:10.283527,,1,387
2,this is awesome,2024-12-07 12:26:35.553477,,1,389
3,wow ,2024-12-07 12:54:18.799289,,1,392
4,so good ,2024-12-07 16:44:04.956310,,1195,381
5,i love this ,2024-12-07 16:44:14.788507,,1195,382
6,best wishes ,2024-12-07 16:44:33.905152,,1195,384
7,excellent,2024-12-07 16:47:00.665919,,1199,304
8,stay positive ,2024-12-07 16:47:15.400924,,1199,195
9,be better always ,2024-12-07 16:48:39.228101,,1199,378
10,so good ,2024-12-07 16:48:52.410032,,1199,312
11,this is so good ,2024-12-07 16:51:25.843974,,1198,382
12,i hope you get better,2024-12-07 16:51:40.452948,,1198,378
13,wow,2024-12-07 16:59:28.985684,,1200,383
14,i want to be rich too,2024-12-07 17:01:10.530179,,1200,387
15,i want to be rich too,2024-12-07 17:03:13.186325,,1200,392
16,i am against bully too,2024-12-07 17:03:29.334929,,1200,377
17,be optimistic,2024-12-07 17:03:55.888288,,1200,308
18,love ,2024-12-07 17:10:16.990098,,1200,355
19,stand up for bully,2024-12-07 17:13:15.293571,,1201,377
20,i see where this is going,2024-12-07 17:13:34.016199,,1201,383
21,I am so inspired.,2025-01-14 17:56:33.353284,,478,644
22,I love this!,2025-01-14 17:56:33.353284,,1051,209
23,Great letter.,2025-01-14 17:56:33.353284,,113,540
24,Great letter.,2025-01-14 17:56:33.353284,,384,600
25,This letter is good.,2025-01-14 17:56:33.353284,,725,269
26,I love this!,2025-01-14 17:56:33.353284,,909,511
27,"Wow, it's so nice.",2025-01-14 17:56:33.353284,,552,512
28,Loved it.,2025-01-14 17:56:33.353284,,745,464
29,Loved it.,2025-01-14 17:56:33.353284,,1038,327
30,This letter is good.,2025-01-14 17:56:33.353284,,192,577
31,I love this!,2025-01-14 17:56:33.353284,,485,196
32,Nice one.,2025-01-14 17:56:33.353284,,63,346
33,Wow!,2025-01-14 17:56:33.353284,,492,494
34,"Wow, such a beautiful letter.",2025-01-14 17:56:33.353284,,384,389
35,Love.,2025-01-14 17:56:33.353284,,282,477
