id,nickname,title,description,tags,shared_date,is_published,original_letter_id,shared_by_id,feature_photo,view_count
194,anonymous,Letters from 2024-11-18,"Dear Future Me, I hope you have achieved your dreams of becoming a software engineer...",,2024-11-20 18:17:15.463470,0,1,1001,public_letters/photos/0-02-03-0ab1c8585faef4018310cfbcee78ece37b493d46fff72434b214301554_FSsvGb3.jpg,67
195,user1002,Letters from 2024-11-18,"Hey future self, remember to always stay positive and work hard...",,2024-11-20 18:17:15.469794,0,2,1002,,37
196,anonymous,Letters from 2024-11-18,"By now, you should have completed your master's degree. I hope you are doing well...",,2024-11-20 18:17:15.482181,0,3,1003,,71
197,anonymous,Letters from 2024-11-18,"Future me, I hope you are healthy and happy. Don't forget to stay in touch with old friends.",,2024-11-20 18:17:15.491391,0,4,1004,,27
198,anonymous,Letters from 2024-11-18,"Dear future self, have you traveled to all those places you wanted to visit?",,2024-11-20 18:17:15.499198,0,5,1005,,54
199,anonymous,Letters from 2024-11-18,"Hi future me, I hope you have found a work-life balance and are enjoying your career.",,2024-11-20 18:17:15.500003,0,6,1006,,22
200,anonymous,Letters from 2024-11-18,"Remember to keep learning and growing, future self. You are capable of amazing things.",,2024-11-20 18:17:15.513664,0,7,1007,,5
201,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have maintained your health and fitness goals.",,2024-11-20 18:17:15.517637,0,8,1008,,14
202,user1009,Letters from 2024-11-18,"Hey future self, I hope you have built meaningful relationships and are surrounded by loved ones.",,2024-11-20 18:17:15.527852,0,9,1009,,20
203,anonymous,Letters from 2024-11-18,"By now, you should have accomplished many of your goals. Keep pushing forward.",,2024-11-20 18:17:15.533454,0,10,1010,,57
204,anonymous,Letters from 2024-11-18,"Future me, I hope you have learned to appreciate the little things in life.",,2024-11-20 18:17:15.543632,0,11,1011,,74
205,anonymous,Letters from 2024-11-18,"Dear future self, are you still passionate about your hobbies and interests?",,2024-11-20 18:17:15.550076,0,12,1012,,62
206,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have taken the time to travel and explore new places.",,2024-11-20 18:17:15.550076,0,13,1013,,71
207,anonymous,Letters from 2024-11-18,"Future self, remember to always be kind and compassionate to others.",,2024-11-20 18:17:15.565285,0,14,1014,,26
208,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have found a fulfilling career that you enjoy.",,2024-11-20 18:17:15.573511,0,15,1015,,15
209,anonymous,Letters from 2024-11-18,"Hi future self, I hope you are living a happy and healthy life with your family.",,2024-11-20 18:17:15.578516,0,16,1016,,69
210,anonymous,Letters from 2024-11-18,"Remember to stay motivated and never give up on your dreams, future me.",,2024-11-20 18:17:15.586749,0,17,1017,,31
211,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have found peace and contentment in your life.",,2024-11-20 18:17:15.593320,0,18,1018,,43
212,user1019,Letters from 2024-11-18,"Hey future me, I hope you are still curious and eager to learn new things.",,2024-11-20 18:17:15.599951,0,19,1019,,61
213,anonymous,Letters from 2024-11-18,"By now, you should have built strong relationships and a supportive network.",,2024-11-20 18:17:15.606556,0,20,1020,,16
214,anonymous,Letters from 2024-11-18,"Future me, I hope you are grateful for everything you have accomplished.",,2024-11-20 18:17:15.614050,0,21,1021,,22
215,anonymous,Letters from 2024-11-18,"Dear future self, are you still pursuing your passions and dreams?",,2024-11-20 18:17:15.622197,0,22,1022,,36
216,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have found balance and happiness in your life.",,2024-11-20 18:17:15.628244,0,23,1023,,27
217,anonymous,Letters from 2024-11-18,"Future self, remember to stay humble and always be willing to help others.",,2024-11-20 18:17:15.638902,0,24,1024,,67
218,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have traveled to many beautiful places around the world.",,2024-11-20 18:17:15.646978,0,25,1025,,62
219,anonymous,Letters from 2024-11-18,"Hi future self, I hope you are proud of the person you have become.",,2024-11-20 18:17:15.649840,0,26,1026,,74
220,anonymous,Letters from 2024-11-18,"Remember to keep pushing forward and never give up, future me.",,2024-11-20 18:17:15.661963,0,27,1027,,12
221,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have learned to enjoy the present moment.",,2024-11-20 18:17:15.666706,0,28,1028,,9
222,user1029,Letters from 2024-11-18,"Hey future me, I hope you have found a career that you love and are passionate about.",,2024-11-20 18:17:15.678310,0,29,1029,,21
223,anonymous,Letters from 2024-11-18,"By now, you should have achieved many of your goals. Keep striving for more.",,2024-11-20 18:17:15.688869,0,30,1030,,55
224,anonymous,Letters from 2024-11-18,"Future me, I hope you have learned to appreciate the little things in life.",,2024-11-20 18:17:15.696118,0,31,1031,,52
225,anonymous,Letters from 2024-11-18,"Dear future self, are you still passionate about your hobbies and interests?",,2024-11-20 18:17:15.699715,0,32,1032,,37
226,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have taken the time to travel and explore new places.",,2024-11-20 18:17:15.708524,0,33,1033,,66
227,anonymous,Letters from 2024-11-18,"Future self, remember to always be kind and compassionate to others.",,2024-11-20 18:17:15.712756,0,34,1034,,13
228,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have found a fulfilling career that you enjoy.",,2024-11-20 18:17:15.723215,0,35,1035,,31
229,anonymous,Letters from 2024-11-18,"Hi future self, I hope you are living a happy and healthy life with your family.",,2024-11-20 18:17:15.728309,0,36,1036,,8
230,anonymous,Letters from 2024-11-18,"Remember to stay motivated and never give up on your dreams, future me.",,2024-11-20 18:17:15.736277,0,37,1037,,57
231,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have found peace and contentment in your life.",,2024-11-20 18:17:15.741262,0,38,1038,,67
232,user1039,Letters from 2024-11-18,"Hey future me, I hope you are still curious and eager to learn new things.",,2024-11-20 18:17:15.746774,0,39,1039,,42
233,anonymous,Letters from 2024-11-18,"By now, you should have built strong relationships and a supportive network.",,2024-11-20 18:17:15.749889,0,40,1040,,60
234,anonymous,Letters from 2024-11-18,"Future me, I hope you are grateful for everything you have accomplished.",,2024-11-20 18:17:15.759621,0,41,1041,,30
235,anonymous,Letters from 2024-11-18,"Dear future self, are you still pursuing your passions and dreams?",,2024-11-20 18:17:15.765816,0,42,1042,,63
236,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have found balance and happiness in your life.",,2024-11-20 18:17:15.789981,0,43,1043,,31
237,anonymous,Letters from 2024-11-18,"Future self, remember to stay humble and always be willing to help others.",,2024-11-20 18:17:15.796526,0,44,1044,,9
238,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have traveled to many beautiful places around the world.",,2024-11-20 18:17:15.800078,0,45,1045,,72
239,anonymous,Letters from 2024-11-18,"Hi future self, I hope you are proud of the person you have become.",,2024-11-20 18:17:15.811423,0,46,1046,,10
240,anonymous,Letters from 2024-11-18,"Remember to keep pushing forward and never give up, future me.",,2024-11-20 18:17:15.816757,0,47,1047,,54
241,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have learned to enjoy the present moment.",,2024-11-20 18:17:15.827399,0,48,1048,,5
242,user1049,Letters from 2024-11-18,"Hey future me, I hope you have found a career that you love and are passionate about.",,2024-11-20 18:17:15.833447,0,49,1049,,54
243,anonymous,Letters from 2024-11-18,"By now, you should have achieved many of your goals. Keep striving for more.",,2024-11-20 18:17:15.844806,0,50,1050,,37
244,anonymous,Letters from 2024-11-18,"By now, you should have achieved many of your goals. Keep striving for more.",,2024-11-20 18:17:15.850382,0,51,1050,,56
245,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have maintained strong relationships and continued to grow both personally and professionally.",,2024-11-20 18:17:15.859381,0,52,1051,,73
246,anonymous,Letters from 2024-11-18,"Hey future me, I hope you are enjoying the life you worked so hard to build. Don't forget to take breaks.",,2024-11-20 18:17:15.866562,0,53,1052,,59
247,anonymous,Letters from 2024-11-18,"By now, I hope you have achieved your goal of running a marathon and are still staying active.",,2024-11-20 18:17:15.874521,0,54,1053,,59
248,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have continued to learn new things and challenge yourself every day.",,2024-11-20 18:17:15.880569,0,55,1054,,41
249,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have found balance in your life and are making time for the people you love.",,2024-11-20 18:17:15.890112,0,56,1055,,74
250,anonymous,Letters from 2024-11-18,"Future me, I hope you have traveled to at least three new countries and experienced different cultures.",,2024-11-20 18:17:15.895128,0,57,1056,,16
251,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have achieved financial stability and are able to live comfortably.",,2024-11-20 18:17:15.903421,0,58,1057,,70
252,anonymous,Letters from 2024-11-18,"Hey future me, remember to stay humble and never forget where you came from. Keep your roots strong.",,2024-11-20 18:17:15.910084,0,59,1058,,42
253,anonymous,Letters from 2024-11-18,"By now, you should have made significant progress in your career. Keep aiming higher and striving for excellence.",,2024-11-20 18:17:15.916493,0,60,1059,,34
254,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have maintained your health and are still prioritizing your well-being.",,2024-11-20 18:17:15.921904,0,61,1060,,66
255,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to stay in touch with old friends and have made new ones along the way.",,2024-11-20 18:17:15.933032,0,62,1061,,64
256,anonymous,Letters from 2024-11-18,"Future me, I hope you have found a hobby that you love and that brings you joy every day.",,2024-11-20 18:17:15.941980,0,63,1062,,13
257,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have learned to balance work and play, and are truly enjoying life.",,2024-11-20 18:17:15.949803,0,64,1063,,36
258,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have taken risks and tried new things. Don't be afraid to step out of your comfort zone.",,2024-11-20 18:17:15.958352,0,65,1064,,27
259,anonymous,Letters from 2024-11-18,"By now, you should have developed a strong support system. Cherish the people who have stood by you.",,2024-11-20 18:17:15.963414,0,66,1065,,32
260,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have stayed true to your values and have not compromised on what is important to you.",,2024-11-20 18:17:15.970215,0,67,1066,,23
261,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to grow and evolve. Never stop learning and improving.",,2024-11-20 18:17:15.976223,0,68,1067,,36
262,anonymous,Letters from 2024-11-18,"Future me, I hope you have taken the time to appreciate the beauty in everyday life. Slow down and enjoy the moment.",,2024-11-20 18:17:15.981025,0,69,1068,,51
263,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have continued to be generous and give back to your community.",,2024-11-20 18:17:15.988164,0,70,1069,,43
264,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have remained optimistic and positive, even when faced with challenges.",,2024-11-20 18:17:15.993151,0,71,1070,,51
265,anonymous,Letters from 2024-11-18,"By now, you should have a wealth of experiences and stories to tell. Share your journey with others.",,2024-11-20 18:17:15.999574,0,72,1071,,38
266,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have found true happiness and contentment in whatever you are doing.",,2024-11-20 18:17:16.004924,0,73,1072,,35
267,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have surrounded yourself with positive and inspiring people who lift you up.",,2024-11-20 18:17:16.012663,0,74,1073,,26
268,anonymous,Letters from 2024-11-18,"Future me, I hope you have continued to pursue your passions and never settled for less than what you deserve.",,2024-11-20 18:17:16.016722,0,75,1074,,72
269,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have stayed curious and always sought to learn more about the world around you.",,2024-11-20 18:17:16.025854,0,76,1075,,31
270,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have continued to grow and evolve as a person. Keep pushing your boundaries.",,2024-11-20 18:17:16.031483,0,77,1076,,11
271,anonymous,Letters from 2024-11-18,"By now, you should have achieved some of your biggest dreams. Don't stop there, keep aiming higher.",,2024-11-20 18:17:16.038517,0,78,1077,,19
272,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have maintained your sense of humor and continue to find joy in the little things.",,2024-11-20 18:17:16.043558,0,79,1078,,53
273,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have stayed true to yourself and have not let others' opinions sway you.",,2024-11-20 18:17:16.053445,0,80,1079,,13
274,anonymous,Letters from 2024-11-18,"Future me, I hope you have found peace and tranquility in your life. Take time to relax and recharge.",,2024-11-20 18:17:16.056199,0,81,1080,,45
275,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have continued to be a good friend and have supported those around you.",,2024-11-20 18:17:16.066536,0,82,1081,,31
276,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have achieved the work-life balance you always wanted. Take care of yourself.",,2024-11-20 18:17:16.073765,0,83,1082,,35
277,anonymous,Letters from 2024-11-18,"By now, you should have learned to let go of what doesn't serve you and embraced what truly makes you happy.",,2024-11-20 18:17:16.082487,0,84,1083,,41
